name,audio_id,cc
Ground Parrot,75186481,Chris A
Azure Kingfisher,186832241,Greg McLachlan
Southern Cassowary,203989761,Phil Gregory | Sicklebill Safaris | www.birder.travel
Pied Cormorant,188844231,Greg McLachlan
Powerful Owl,204008221,Stephen Wallace
Red-tailed Black-Cockatoo,62822211,James (Jim) Holmes
Striated Thornbill,233708,Vicki Powys
Weebill,232910,Vicki Powys
Red Wattlebird,213360,Vicki Powys
Hoary-headed Grebe,99561861,Andrew Spencer
Fairy Prion,490166951,Milan Sojitra
Tree Martin,183403181,Eliot Miller
Magpie-lark,67126831,Sara Young
Brown Quail,530112151,Alfons  Lawen
Greater Bluebonnet,448230021,Chris A
White-naped Honeyeater,313149781,Christopher Brown
Pied Stilt,288418571,Drew Davison
Mistletoebird,196564561,James Lambert
Pied Stilt,192879491,Liam Manderson
Australasian Swamphen,171195711,Ramit Singal
Mistletoebird,101487091,Andrew Spencer
Pink Cockatoo,88608821,David Vickers
Long-billed Corella,31676071,Andrew Spencer
Brown Thornbill,100769981,Andrew Spencer
Swamp Harrier,115860821,Ramit Singal
Musk Duck,171938621,Ramit Singal
Gray Teal,101312391,Andrew Spencer
Gray Teal,101312381,Andrew Spencer
Wedge-tailed Eagle,220257441,Ken Crawley
Letter-winged Kite,204010431,Peter Waanders
Black Swan,105571751,Ramit Singal
Black-faced Cuckooshrike,233436,Tony Baylis
Pacific Black Duck,64064341,Greg McLachlan
Pacific Gull,418013801,Ramit Singal
Dusky Woodswallow,261525111,Ramit Singal
Marbled Frogmouth,203932751,Josep del Hoyo
Australian Owlet-nightjar,203886691,Pieter de Groot Boersma
Apostlebird,62825621,James (Jim) Holmes
Brown Honeyeater,62324861,James (Jim) Holmes
Western Gerygone,233844,Vicki Powys
Superb Fairywren,233842,Vicki Powys
White-browed Scrubwren,233664,Tony Baylis
Striated Pardalote,233629,Tony Baylis
Masked Lapwing,233554,Tony Baylis
Lewin's Honeyeater,233507,Tony Baylis
Gray Fantail,233491,Tony Baylis
Pacific Koel,233459,Tony Baylis
Yellow-faced Honeyeater,232844,Vicki Powys
Gray Fantail,232786,Vicki Powys
Bell Miner,229645,Vicki Powys
Little Penguin,228874,Gregory Budney
Noisy Miner,213261,Vicki Powys
Gray Butcherbird,210690,Vicki Powys
Rufous Whistler,210677,Vicki Powys
Golden Whistler,128342,Linda Macaulay
Rufous Songlark,125992,Linda Macaulay
Swamp Harrier,177311991,Marie Chappell
Nankeen Kestrel,345575671,Sara Young
Red-necked Avocet,170100951,Sara Young
Cockatiel,204010221,Peter Waanders
Australasian Darter,59760711,Greg McLachlan
Yellow-throated Miner,529695,Mark Robbins
Crested Pigeon,376158271,Robert McTrusty
Paperbark Flycatcher,441756031,Drew Davison
Red-capped Robin,439640911,David Secomb
Whistling Kite,257800171,Toby Esplin
Pacific Gull,249152861,Ramit Singal
Eastern Shrike-tit,204021131,Nicholas Talbot
Gang-gang Cockatoo,204014101,Nicholas Talbot
Collared Sparrowhawk,204010421,Peter Waanders
Singing Honeyeater,204010171,Peter Waanders
Victoria's Riflebird,203988051,Phil Gregory | Sicklebill Safaris | www.birder.travel
Large-billed Gerygone,203983611,Phil Gregory | Sicklebill Safaris | www.birder.travel
Chestnut-crowned Babbler,203967151,Nicholas Talbot
Satin Bowerbird,203910351,Josep del Hoyo
Eyrean Grasswren,203888281,Pieter de Groot Boersma
Eyrean Grasswren,203888271,Pieter de Groot Boersma
Regent Bowerbird,197541121,Liam Manderson
Spotted Pardalote,186753041,David Fleming
Zebra Finch,175528701,Marie Chappell
Horsfield's Bronze-Cuckoo,112166401,Fred Booker Malcolm
Hooded Plover,101314511,Andrew Spencer
Little Grassbird,67685981,Corey Callaghan
Golden-headed Cisticola,237581,Emma Greig
Eastern Yellow Robin,233759,Vicki Powys
Willie-wagtail,233689,Tony Baylis
Willie-wagtail,233688,Tony Baylis
Pied Butcherbird,233572,Tony Baylis
Blue-faced Honeyeater,233501,Tony Baylis
Apostlebird,233400,Tony Baylis
Australian Raven,232845,Vicki Powys
Australian Raven,232819,Vicki Powys
Australian Magpie,229628,Vicki Powys
Willie-wagtail,226172,Vicki Powys
Shining Flycatcher,223328,Peter Wrege
Rufous Songlark,213368,Vicki Powys
Noisy Friarbird,210660,Vicki Powys
Metallic Starling,209388,Benjamin Clock
Sahul Sunbird,200524,Emma Greig
Satin Bowerbird,16237,F. N. Robinson
Gray Shrikethrush,13946,Frank Cusack
Black-faced Cuckooshrike,227420391,James Lambert
White-naped Honeyeater,31672761,Andrew Spencer
Common Cicadabird,202001,Emma Greig
Pacific Baza,556362701,Greg Neill
Common Bronzewing,516785151,Christopher Escott
Australasian Bittern,484545911,Frank Antram
Brown Goshawk,484302971,Peter Brown
Bridled Tern,469616261,Nigel Jackett NFC Station
Short-tailed Grasswren,462910401,James (Jim) Holmes
Red-browed Firetail,454759311,Ken Tay
White-bellied Cuckooshrike,434967151,Charlie Andrews
Blue-breasted Quail,386865291,Liam Murphy
White-bellied Sea-Eagle,354547271,James Lambert
White-bellied Sea-Eagle,324386921,Anonymous
Dusky Moorhen,269961141,Sara Young
Forest Raven,232591151,Ramit Singal
Gang-gang Cockatoo,222228471,Liam Manderson
Zebra Finch,181468371,Marie Chappell
Cape Barren Goose,181190721,Ramit Singal
Brown-headed Honeyeater,178015701,Tayler Brooks
Spotted Scrubwren,173720831,Ethan Monk
Satin Flycatcher,131052171,Ramit Singal
Scarlet Honeyeater,123795021,Kent Warner
Black-faced Woodswallow,112742661,Andrew Spencer
Bell Miner,110226311,Fred Booker Malcolm
Crested Bellbird,100814281,Andrew Spencer
White-cheeked Honeyeater,100284401,Todd Burrows
Mangrove Robin,99563691,Andrew Spencer
Shy Heathwren,88578781,David Vickers
Western Gerygone,88153721,Michael Dahlem
